Titre,Note,Avis,Auteur,Entreprise
Des intervenants de qualité,5,"Des intervenants de qualité, présentation dynamique et interactive! Les bases de PowerBI, de l’IA et du Cloud ont été abordées!",Adrien C,www.datascientest.com
Formation complète et enrichissante,4,Formation complète et enrichissante. Un accompagnement de qualité tout au long du parcours. Cependant il faudrait peut être mettre à dispo des supports comme sur Power BI par exemple car une fois le e-learning fermé on ne peut plus réviser pour préparer les entretiens,diakhate abdoulaye,www.datascientest.com
Remerciement,5,"Je tiens à remercier chaleureusement le département career_management pour l’organisation réussie de cet événement. Leur soutien, leurs conseils et le temps qu’ils m’ont consacré ont été précieux pour ma phase de postulation. Un grand merci pour leur engagement et leur professionnalisme ! Et merci Datascientest !",Najat Boutabratine,www.datascientest.com
Vraiment très bien organisé,5,"Vraiment très bien organisé, les entreprises à l’écoute et qui sont très transparentes sur les opportunités disponibles et sur le position de notre type de profil. Vraiment à refaire",Paola Graciella,www.datascientest.com
Formation Deep Learning et Computer Vision,5,"Je suis extrêmement satisfait de la formation en Deep Learning et Computer Vision que j'ai suivie chez DataScientest. Les nombreux projets proposés tout au long du parcours sont en parfaite adéquation avec les réalités du terrain. Les études de cas sont concrètes et ancrées dans des problématiques réelles, ce qui rend l'apprentissage encore plus pertinent. Franchement, c'est une expérience de très grande qualité que je recommande vivement. Grâce à cette formation, j'ai considérablement développé mes compétences et je suis certain que vous ne le regretterez pas non plus !",Mansour Kande,www.datascientest.com
Merci à l'équipe Career Management de DataScientest,5,"J'ai acquis de nouvelles compétences grâce à deux formations de DataScientest (Data Scientist, ML Ops). Les salons de recrutement organisés par l'équipe Career Management de DataScientest m'ont permis de rencontrer d'autres personnes et de découvrir de nouveaux horizons. Un grand merci à l'équipe Career Management pour l'organisation de ces salons du recrutement !",Frédéric Vincent,www.datascientest.com
Service carrière au top !,4,Super formation avec un service carrière à l'écoute et très disponible pour accompagner dans la recherche d'emploi par la suite.,julie adeline,www.datascientest.com
Après une formation effectué chez…,5,"Après une formation effectué chez datascientest, j'ai participé à l'un de leur salon job dating organisé par le pôle carrière management. Celui-ci était très qualitatif et pertinent et je remercie grandement le pôle carrière pour cette événement.",Cyrille Cossou,www.datascientest.com
Très bonne formation,5,"Très bonne formation, rythme intense mais on y apprend pleins de nouveautés",Clara Risso,www.datascientest.com
Assez bien mais quelques défauts,3,"Envoie beaucoup trop d'emails : ils annoncent par email des visios puis leurs changements d'horaires plusieurs fois. En plus les emails se trompent parfois d'horaires. Donc il faut consulter leur site pour savoir les vrais horaires des visios, et ces emails sont pires qu'inutiles. Je leur ai demandé d'arrêter mais ils persistent.Parfois le personnel ne répond pas.Ça fait 2 mois que je leur ai demandé la carte d’étudiant des métiers, et je ne l'ai toujours pas reçue, alors qu'on doit la recevoir sous 30 jours.Mais des fois le personnel est plus réactif et plus compétent.Cette entreprise devrait embaucher plus, car ses employés semblent surchargés.Je suis plutôt content de la qualité des cours. Mais certains ont une orthographe terrible.",xr,www.datascientest.com
L’expérience était super.,5,L’expérience était super.Kahina et Laura étaient au Top.Merci!,Francois LEGARDINIER,www.datascientest.com
Formation sympathique,4,Intéressant mais formation et connaissances qui s'adresse à un public formé techniquement à l'informatique,Myriam ANTENOR-HABAZAC,www.datascientest.com
Formation Power BI et SQL au top,5,"Formation Power BI et SQL au top, grâce à des formateurs compétents et qui laissent les apprenants poser les questions pour y répondre efficacement et avec justesse. Je recommande!",Lefebvre,www.datascientest.com
L'équipe Career Management de…,5,"L'équipe Career Management de DataScientest réalise un travail prodigieux, de haut niveau avec notamment lors du Salon du recrutement trimestriel organisé le 28/01/25 une relation sur-mesure avec ses partenaires Sociétés renommées et ses alumni pour permettre ses échanges si fructueux, et accompagner dans la gestion de carrière.",JP Mariton,www.datascientest.com
Un excellent centre de formation !,5,"Un excellent centre de formation !Je suis en préparation d’un Master en Intelligence Artificielle sur deux ans en alternance. La plateforme de formation est très pratique et régulièrement mise à jour en fonction des évolutions du domaine.Les formateurs sont très professionnels et experts dans leur métier, et l’équipe pédagogique est toujours disponible tout au long de la formation.Il est important d’être très motivé pour s’adapter à l’approche autonome et à la pédagogie active, mais les masterclasses sont complètes et permettent de répondre à toutes les questions.Je recommande vivement Datascientest à toute personne souhaitant se former sérieusement dans ce domaine.",Tetyana Tarasenko,www.datascientest.com
Services insatisfaisants,1,La qualité des cours est correcte mais les services de cet organisme de formation sont très insatisfaisants : il faut attendre plusieurs semaines et relancer plusieurs fois le personnel pour recevoir une réponse !,Sophie,www.datascientest.com
Power BI Préparation PL-300,5,"Cours sur Power BI en distanciel étalés sur 5 jours pour la préparation au PL-300 Microsoft Certified Data Analyst ! Supports très bien faits, formateur super à l'écoute du groupe. L'investissement vaut le coup!",John,www.datascientest.com
Très satisfaite de la formation Power…,5,"Très satisfaite de la formation Power BI (3 jours classiques + 2 jours expert) qui prépare à la certification Microsoft PL-300. Animée par Emerick Duval, la formation était très complète, riche et dynamique. Des notions 'complexes' sont expliquées avec beaucoup de facilité, des exercices sont proposés pour appliquer directement la partie théorique. Je recommande à 100%",Lucie,www.datascientest.com
Formation Data Engineer,5,"J’ai suivi une formation continue en Data Engineer, et j'en suis très satisfait. La formation est de qualité, avec des intervenants très passionnés par leur métier. Cette formation m'a permis de devenir autonome dans mon travail. L’accès aux cours est simple, et la plateforme est facile à utiliser.Les outils sont bien expliqués et les exercices nombreux.",Guillaume Lormier,www.datascientest.com
Belle initiative pour le réseautage.,5,Belle initiative pour le réseautage.,Guy Rostan NANA,www.datascientest.com
Excellente formation,5,"Bonjour, j'ai suivi une formation au ""prompt engineering IA"", après en avoir essayé d'autres.Clarté du propos, écoute et attention des formateurs et progression pédagogique adaptée ont fait la différence. Je suis très content et ai été en capacité, dès la formation terminée, de mettre à profit mes nouvelles compétences.",PONCET,www.datascientest.com
Formation Data Scientist,5,J'ai suivi la formation Data Scientist au format bootcamp. C'est une formation de haute qualité. Nous sommes bien formés pour devenir autonome dans nos actions. L'encadrement est correct. L'accès aux cours est très simple et la plateforme de cours est simple à utiliser. Je suis très satisfait de ces mois de formation.,Oguz Gurler,www.datascientest.com
"bootcamp devops, arnaque, perte d'argent, perte de temps",1,"J'ai suivi le ""bootcamp devops"". On vous propose de taper des commandes sur une plateforme, en suivant des modules de cours - learning by doing. Les cours sont bâclés. La plupart des modules n'étaient pas fonctionnels. La plupart du temps les commandes étaient erronées, les explications qui devraient aller avec, sont inexistantes ou rédigées dans un mauvais français. Les apprenants sont livrés à eux-mêmes, les encadrants sont débordés et n'ont aucune pédagogie. Il y a quelques ""masterclass"", mais leur niveau est en-dessous de tout. Toute la cohorte s'est plainte de cette pseudo-formation qui siphonne les droits à la formation de personnes souvent en difficultés professionnelles, qui cherchent à se reconvertir ou qui cherchent à retrouver un emploi. C'est une sorte de coquille vide pour faire illusion : une plateforme, un système de messagerie, une organisation, mais le but est de faire du fric, pas d'aider les apprenants. Rassurez-vous, tout le monde obtient son diplôme à la fin, même ceux qui ont jeté l'éponge avant la fin des 3 mois ! (ça explique certainement la plupart des bons commentaires... ).  Il y a un lien pour faire des réclamations, mais on ne vous répond jamais, c'est le mépris total.",Franck,www.datascientest.com
Data Analyst bootcamp,5,"Formation très sérieuse et de très bonne qualité. Les encadrants sont compétents et toujours disponibles en cas de questions. Le format dynamique est également un avantage avec des Masterclass régulières qui sont d'une grande aide à la compréhension des différents modules de cours. Le support de cours en lui-même est très bien construit et clair. L'apprentissage peut parfois s'avérer difficile pour quelqu'un de totalement novice en programmation, mais les formateurs sont à l'écoute et disponibles en cas de besoin. Et puis après tout, il s'agit tout de même d'un équivalent Master. No pain, no gain ;) Je suis ravie d'avoir pu suivre cette formation!",Delphine Parmentier,www.datascientest.com
chaud et froid,3,Bons points: -les instructeurs sont jeunes et mega competents en data science.-le forum est super rapide pour repondre aux questions meme a 21h!!-Montee en competences certaines Mauvais points:-Communications-Certains notebook sont une horreur a comprendre.Resume: On apprend a la dure mais on apprend. mieux vaut avoir des bases pour passer outres certains desagrement comme ceux mentionnes ci dessus.,Julien Biscay,www.datascientest.com
RECONVERSION DE GEOSCIENTIST A DATA ENGINEER,5,J'ai complété ma reconversion dans la Data avec une formation en Data Engineering dans cette école.Des cours très complets  alliant théorie et pratique ainsi que des encadrants de qualité. Mes pensées vont vers mon tuteur Fall Lewis YOMBA qui nous a beaucoup aidé.Donc je recommande vivement cette école.,Client,www.datascientest.com
J’ai suivi la formation Data Analyst,5,J’ai suivi la formation Data Analyst. Le mode formation continue m’a permis d’apprendre à mon rythme en parallèle de mon activité professionnelle. Le programme est riche. On sort de cette formation avec une belle boite à outils. J’ai particulièrement apprécié la partie projet qui nous permet de mettre en pratique nos nouvelles compétences en situation réelle. Un grand merci à Francesco qui nous a bien accompagné.,Grégory Rodriguez,www.datascientest.com
Bonne expérience d'apprentissage,4,"Bonne expérience d'apprentissage. Les cours sont bien faits, une grande place est laissée à la pratique, les projets sont concrets et permettent de mettre en applications une grande partie des connaissances acquises.Il peut y avoir, parfois, quelques couacs au niveau de la planification mais l'équipe pédagogique est arrangeante en cas de problèmes.Après un cursus complet de 3 formations chez DataScientest, je les recommande grandement !",Bastien B,www.datascientest.com
Apprentissage continu,4,"J'ai eu l'opportunité de réaliser 2 formations (Data Analyst et Power BI avancé). Les cours en ligne sont intéressants et offres un compréhension globale. L'accompagnement reste assez lointain car l'objectif est de savoir chercher mais quand on a besoin, il y a quelqu'un, même après la fin de la formation.L'équipe apprend, ce n'est pas parfait mais ils sont plutôt à l'écoute et réactif aux feedbacks.",Cédric BATISSE,www.datascientest.com
